sr,full_word,root,rest
813,रत्न,रत्न,
814,प्रयत्नवान,प्रयत्न,वान
815,उल्लंघित,उल्लंघ,ित
816,अव्यवस्थित,व्यवस्था,अ-
817,मातलेला,मात,लेला
818,सदृश्य,सदृश,्य
819,जीवनसाथी,जीवन,साथी
820,वेष्टित,वेष्ट,ित
821,देतो,दे,तो
822,अडखळणे,अडखळ,णे
823,सागर,सागर,
824,जिंकणे,जिंक,णे
825,मधुर,मधु,र
826,फरफटणे,फरफट,णे
827,विशाल,विशा,ल
828,खारा,खार,ा
829,नुतन,नुत,न
830,फुललेला,फुल,लेला
831,दंडणे,दंड,णे
832,बहामी,बहा,मी
833,फरार,फरार,
834,मुकुट,मुक,ुट
835,थोरला,थोर,ला
836,पसंतीचा,पसंती,चा
837,झुकवणे,झुक,वणे
838,टेकणे,टेक,णे
839,नक्षत्र,नक्ष,त्र
840,मटकावणे,मटक,आवणे
841,सुकवणे,सुक,वणे
842,रंग,रंग,
843,धोपटणे,धोपट,णे
844,बाईलबांध्या,बैल,बांध्या
845,सांगणे,सांग,णे
846,ओलांडणे,ओलांड,णे
847,घाबरणे,घाबर,णे
848,धुके,धुक,े
849,कुरतडणे,कुरत,डणे
850,ज्ञाता,ज्ञा,ता
851,तमोगुणी,गुण,तमो
852,घेणे,घे,णे
853,चक्रवर्ती,चक्र,वर्ती
854,टरकावणे,टरका,वणे
855,नीच,नीच,
856,अजब,अज,ब
857,लालीमय,लाली,मय
858,सुगंधी,सुगंध,ी
859,रथहीन,रथ,हीन
860,बोथट,बोथ,ट
861,उत्सुकता,उत्सुक,ता
862,जादुई,जादु,ई
863,बिनतारी,तारी,बिन
864,इंद्रधनुष्य,इंद्र,धनुष्य
865,अलंकृत,अलं,कृत
866,इत्थंभूत,इत्थं,भूत
867,आणणे,आण,णे
868,दीप्तिमान,दीप्ति,मान
869,दाखवणे,दाख,वणे
870,सुखमय,सुख,मय
871,झगमगणारा,झगमग,णारा
872,सिंह,सिंह,
873,थांबवणे,थांब,वणे
874,निःशब्द,शब्द,निः
875,रिझणे,रिझ,णे
876,मधुमय,मधु,मय
877,उमजणे,उमज,णे
878,मुलायम,मुल,ायम
879,प्रकाश,प्रक,ाश
880,कामुक,काम,ुक
881,स्वाभिमानशून्य,स्वाभिमान,शून्य
882,राजा,राज,ा
883,राणी,राण,ी
884,सरंजामशाहीवादी,सरंजाम,शाहीवादी
885,ऐकणे,ऐक,णे
886,जोडणे,जोड,णे
887,अभोग,अभोग,
888,झोप,झोप,
889,प्रखर,प्र,खर
890,रासायनिक,रासायन,िक
891,शोध,शोध,
892,प्रशांत,प्रशां,त
893,मित्र,मित्र,
894,ठेवणे,ठेव,णे
895,भुवनमोहिनी,भुवन,मोहिनी
896,परी,परी,
897,खुणावणे,खुणा,वणे
898,जोतवणे,जोत,वणे
899,अननुभवी,अनुभव,ी
900,लोणकढी,लोण,कढी
901,दिव्य,दिव,य
902,फुगा,फुग,ा
903,घोटीव,घोट,ीव
904,प्रतिदीप्तिशील,दीप्ति,प्रति-शील
905,कलाहीन,कला,हीन
906,सूर,सूर,
907,अकुलज,अकुल,ज
908,अलौकिक,लौकिक,अ
909,खमक्या,खमक,या
910,अंगोलन,अंग,ोलन
911,शास्त्रनिषिद्ध,शास्त्र,निषिद्ध
912,आफ्रिकन,आफ्रिक,न
913,खारवणे,खार,वणे
914,पावन,पाव,न
915,कागद,काग,द
916,जादूगर,जादू,गर
917,बस,बस,
918,देतो,दे,तो
919,करणे,कर,णे
920,आयरिश,आयर,िश
921,चित्र,चित्र,
922,मालदीवी,माल,दीवी
923,वस्तुनिष्ठ,वस्तु,निष्ठ
924,निववणे,निव,वणे
925,तुटण्याजोगा,तुट,ण्याजोगा
926,गुंफलेला,गुंफ,लेला
927,झाकलेला,झाक,लेला
928,चुकणे,चुक,णे
929,विव्हळणे,विव्हळ,णे
930,पवित्र,पवित्र,
931,जर्शी,जर्श,ी
932,मतलबी,मत,लबी
933,लहान,लहान,
934,आश्विनी,आश्व,िनी
935,ओढणे,ओढ,णे
936,पत्र,पत्र,
937,उदार,उद,आर
938,जिवंत,जिव,ंत
939,कापूस,काप,ूस
940,मंदावणे,मंद,ावणे
941,थरथरणे,थरथर,णे
942,रोडावणे,रोड,आवणे
943,प्रकाशदीप्त,प्रकाश,दीप्त
944,गोड,गोड,
945,कोशागार,कोश,ागार
946,सरस,सर,स
947,प्रसन्न,प्रस,न्न
948,काजवा,काज,वा
949,पिटाळणे,पिटाळ,णे
950,मनोहर,मन,ोहर
951,आंबा,आंब,ा
952,शोभणे,शोभ,णे
953,जांभूळ,जांभ,ूळ
954,पिकविणे,पिक,विणे
955,स्पंदनशील,स्पंदन,शील
956,नवजागृत,जागृत,नव
957,पुत्र,पुत्र,
958,कातरणे,कातर,णे
959,धन,धन,
960,चितारणे,चितार,णे
961,मुखर,मुख,र
962,बेवडा,बेव,डा
963,स्वप्नमय,स्वप्न,मय
964,हिमज,हिम,ज
965,इच्छिणे,इच्छ,णे
966,सतत,स,तत
967,राजपुत्र,राज,पुत्र
968,शोषणे,शोष,णे
969,विटणे,विट,णे
970,मणी,म,णी
971,निसर्गमय,निसर्ग,मय
972,फुकट्या,फुकट,्या
973,जादू,जादू,
974,चतुर,चतुर,
975,विरुद्ध,विरुद्ध,
976,वाचणे,वाच,णे
977,निद्रिस्त,निद्रा,स्त
978,आमंत्रित,आमंत्र,ित
979,रंगबेरंगी,रंग,बेरंगी
980,मुग्ध,मुग्ध,
981,कुतूहलजनक,कुतूहल,जनक
982,चोरणे,चोर,णे
983,खीर,खीर,
984,वाकवणे,वाक,वणे
985,ट्रेन,ट्रेन,
986,स्थिरचित्त,चित्त,स्थिर
987,चुणीदार,चुणी,दार
988,आकर्षक,आकर्ष,क
989,टपालवाहक,टपाल,वाहक
990,पाऊल,पाऊ,ल
991,तराफा,तर,आफा
992,विमान,विम,आन
993,मासा,मास,आ
994,मिटणे,मिट,णे
995,स्वतंत्र,स्व,तंत्र
996,खेडणे,खेड,णे
997,चांदमुखी,चांद,मुखी
998,स्नेहशील,स्नेह,शील
999,चुचकारणे,चुचकार,णे
1000,असणे,अस,णे
1001,विरोधी,विरोध,ी
1002,मनमाना,मन,माना
1003,उघडणे,उघड,णे
1004,हस्तलिखित,हस्त,लिखित
1005,अजमावणे,अजमाव,णे
1006,ओशाळणे,ओशाळ,णे
1007,लिहिणे,लिहि,णे
1008,बासष्टावा,बास,ष्टावा
1009,सज्जन,स,ज्जन
1010,माखलेला,माख,लेला
1011,सछिद्र,छिद्र,स
1012,हिंदळवणे,हिंदळ,वणे
1013,बर्फ,बर्फ,
1014,पूल,पूल,
